gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
CRISPLD2,5.756118692801241e-09,3.33744109646512e-06,0.0003256462938833,0.0470394242040893,0.1319281234492209,0.1487542279755095,True,True,True
SERPINA5,6.1918897786839e-09,3.54736512476905e-06,6.564006767018071e-07,0.0004219343549839,0.315526749790991,0.0877349947292727,True,True,True
GAPDH,7.43444705797458e-09,4.20912388771756e-06,0.3700924459227113,0.974739246369655,0.0288248357762516,0.1487542279755095,True,False,False
FAU,7.6844841601087e-09,4.30009677550637e-06,0.1527972145352839,0.974739246369655,0.0767671227514177,0.0877349947292727,True,False,False
KRT19,9.2711442967186e-09,5.0814914776857e-06,0.1157162060665615,0.974739246369655,0.3653928381088451,0.0305196765285746,True,False,False
CD81,9.29205801192268e-09,5.0814914776857e-06,0.1318353093686778,0.974739246369655,0.3272432849950716,0.0305196765285746,True,False,False
S100A10,1.09899840339267e-08,5.94249761405493e-06,0.0020343445680209,0.173202210374025,0.1643423632138059,0.0877349947292727,True,False,False
LY6E,1.11994469254029e-08,5.98847206091025e-06,0.0009665026399784,0.1099589198191399,0.1335127649825763,0.1487542279755095,True,False,False
MCL1,1.16421819962298e-08,6.15679868082354e-06,0.2494385125569269,0.974739246369655,0.0198103667143502,0.252212021085435,True,False,False
FCGR3A,1.66916627186708e-08,8.7311959374291e-06,7.549632619763269e-05,0.0156545285418833,0.1654278389435255,0.252212021085435,True,True,True
SERF2,1.733391774561e-08,8.96337608482361e-06,0.4871713304435995,0.974739246369655,0.9999545803043446,0.0180004541438273,True,False,False
DBI,1.75080392406102e-08,8.96337608482361e-06,0.000110947866367,0.0209756730884445,0.1813704547095969,0.1487542279755095,True,True,True
KRT17,1.80763715107446e-08,9.15692409946026e-06,0.0020309020750076,0.173202210374025,0.2846170297904397,0.0517459530724249,True,False,False
FTL,1.95893876675513e-08,9.8200022888561e-06,0.0214165616652182,0.6344039556867405,0.2078124372202858,0.0517459530724249,True,False,False
TP53INP2,2.01415379930125e-08,9.99270017385774e-06,0.0008455364823042,0.1006501575602148,0.1837606525991243,0.1487542279755095,True,False,False
SAA1,2.23082311512357e-08,1.09547134364066e-05,0.0001232930007966,0.0226436402605887,0.1961544460324872,0.1487542279755095,True,True,True
PALLD,3.41484476251708e-08,1.65996041743606e-05,4.176323996729625e-05,0.0099427446855474,0.1946323156007722,0.252212021085435,True,True,True
